time_h,D,E,C,H_e,M_t
3.11,0.8536348042710019,0.7054036527430722,0.5466753854219094,0.146703977563653,0.23769035924627807
3.12,0.8490637735435591,0.6675780998139262,0.5162092748661806,0.14232399440078333,0.23861804881952212
3.13,0.8444911931815444,0.6761382760009891,0.5432147761168686,0.13754023214277525,0.23956147025361443
3.14,0.839917517746143,0.6653610408712155,0.5650048407631462,0.13260489081338014,0.2405143634281986
3.15,0.8353431951873365,0.6785098019061448,0.5517832333280566,0.12812075799882514,0.241471471902574
3.16,0.8307686668781138,0.7075925991199764,0.5467518891364951,0.12383048938809686,0.24243927595397116
3.17,0.8261943676495163,0.6964859052453332,0.5424825901303968,0.11918295037587931,0.24340793888055215
3.18,0.8216207258264794,0.6732044990521162,0.5697412435394654,0.11510683783274893,0.24438390117693792
3.19,0.8170481632644501,0.6874539258732603,0.5407967268429433,0.11061040588593798,0.2453592446463886
3.2,0.8124770953867422,0.686206691262928,0.5428158719901675,0.10650255624295873,0.2463395440196616
3.21,0.8079079312226108,0.676847701789885,0.5644390995906409,0.10209579689185913,0.2473294475417891
3.22,0.8033410734460089,0.6680356157433402,0.5818209087125764,0.09752650454945491,0.24832778589730561
3.23,0.7987769184150041,0.6791016127103564,0.5299480953967451,0.0936471475866394,0.24931650556714724
3.24,0.7942158562118288,0.6925015441456396,0.565849265688007,0.08979358111059055,0.2503252652615368
3.25,0.789658270683534,0.6811138842819996,0.5833089783966551,0.0854994120317065,0.2513416750672618
3.2600000000000002,0.7851045394832237,0.6904870779124019,0.542622239123899,0.08101446833677067,0.2523520664473661
3.27,0.7805550341118467,0.7098971305267813,0.550370317374023,0.07745834875642356,0.2533745260574095
3.2800000000000002,0.776010119960514,0.6934154708129147,0.5715545056682261,0.07318961795784137,0.2544047710404022
3.29,0.7714701563533264,0.6944337786934993,0.5594646974802239,0.06910918697449892,0.25543587206616925
3.3000000000000003,0.7669354965906808,0.6609159929343655,0.5415669393571683,0.0651213290088376,0.2564563451586271
3.31,0.762406487993037,0.7051841669162148,0.5411315440965175,0.06200982491808031,0.2574922952229161
